"id_partido","temporada","torneo","equipo","rival","posesion","momentum","pases","pases_ultimo_tercio","pases_area_rival","pases_entre_lineas","grandes_ocasiones","remates_al_arco","xG","xGOT","condicion"
11,2015,"Apertura","Deportivo Pasto","Boyaca Chico",44.5,45.1,331,60,11,5,1,4,0.59,0.56,"Visitante"
12,2015,"Apertura","Alianza","Boyaca Chico",58,64,502,105,23,5,1,5,0.71,0.5,"Local"
12,2015,"Apertura","Boyaca Chico","Alianza",42,36,307,70,13,6,0,5,0.4,0.37,"Visitante"
13,2015,"Apertura","Fortaleza CEIF","Deportivo Cali",38.9,38.8,289,55,15,10,1,5,0.72,0.85,"Local"
13,2015,"Apertura","Deportivo Cali","Fortaleza CEIF",61.1,61.2,467,101,16,9,2,4,0.99,1.12,"Visitante"
14,2015,"Apertura","Independiente Medellin","Once Caldas",37.6,38.2,289,72,21,10,3,5,1.34,1.41,"Local"
14,2015,"Apertura","Once Caldas","Independiente Medellin",62.4,61.8,458,102,19,5,2,3,0.81,0.62,"Visitante"
15,2015,"Apertura","Santa Fe","America de Cali",62.1,71,502,124,33,6,2,7,1.24,1.01,"Local"
15,2015,"Apertura","America de Cali","Santa Fe",37.9,29,297,60,9,7,2,2,0.82,0.63,"Visitante"
16,2015,"Apertura","Envigado","America de Cali",61.4,65.9,496,111,26,7,3,5,1.33,1.45,"Local"
16,2015,"Apertura","America de Cali","Envigado",38.6,34.1,321,62,10,5,2,3,0.89,0.85,"Visitante"
17,2015,"Apertura","Millonarios","America de Cali",64.6,77,513,108,25,7,1,6,0.78,0.92,"Local"
17,2015,"Apertura","America de Cali","Millonarios",35.4,23,297,64,9,7,0,3,0.16,0.13,"Visitante"
18,2015,"Apertura","Millonarios","Junior",40.3,36.9,329,80,23,9,4,4,1.55,1.26,"Local"
18,2015,"Apertura","Junior","Millonarios",59.7,63.1,460,79,10,5,1,3,0.52,0.46,"Visitante"
19,2015,"Apertura","Millonarios","Envigado",44.7,43.4,304,70,21,9,2,4,1.01,0.99,"Local"
19,2015,"Apertura","Envigado","Millonarios",55.3,56.6,414,71,9,5,2,2,0.79,0.85,"Visitante"
20,2015,"Apertura","Atletico Bucaramanga","La Equidad",63,68.9,480,109,29,7,3,6,1.37,1.56,"Local"
20,2015,"Apertura","La Equidad","Atletico Bucaramanga",37,31.1,296,63,9,4,1,2,0.46,0.39,"Visitante"
21,2015,"Apertura","Millonarios","Deportivo Pereira",36.1,44.6,318,69,21,11,3,4,1.23,1.02,"Local"
21,2015,"Apertura","Deportivo Pereira","Millonarios",63.9,55.4,481,100,14,6,2,4,1,1.13,"Visitante"
22,2015,"Apertura","Atletico Nacional","Boyaca Chico",56.9,49.6,432,88,8,6,0,3,0.24,0.18,"Local"
22,2015,"Apertura","Boyaca Chico","Atletico Nacional",43.1,50.4,309,64,11,7,0,4,0.22,0.22,"Visitante"
23,2015,"Apertura","Atletico Bucaramanga","Deportivo Pasto",56.9,66.1,449,106,27,6,3,7,1.42,1.3,"Local"
23,2015,"Apertura","Deportivo Pasto","Atletico Bucaramanga",43.1,33.9,337,70,12,9,1,4,0.66,0.64,"Visitante"
24,2015,"Apertura","Alianza","Atletico Nacional",60.3,70.3,493,115,28,6,3,6,1.33,1.38,"Local"
24,2015,"Apertura","Atletico Nacional","Alianza",39.7,29.7,300,56,9,6,2,3,0.89,0.67,"Visitante"
25,2015,"Apertura","Junior","Boyaca Chico",55.8,55.3,428,99,9,7,1,2,0.5,0.4,"Local"
25,2015,"Apertura","Boyaca Chico","Junior",44.2,44.7,339,62,10,6,1,3,0.5,0.36,"Visitante"
26,2015,"Apertura","Deportivo Cali","La Equidad",43.1,41.9,282,61,18,8,1,4,0.59,0.53,"Local"
26,2015,"Apertura","La Equidad","Deportivo Cali",56.9,58.1,431,78,10,5,0,5,0.4,0.36,"Visitante"
27,2015,"Apertura","Jaguares","La Equidad",50.1,55.7,415,80,9,6,0,3,0.24,0.19,"Local"
27,2015,"Apertura","La Equidad","Jaguares",49.9,44.3,365,71,10,1,2,2,0.8,0.62,"Visitante"
28,2015,"Apertura","Fortaleza CEIF","Alianza",55.6,75.1,447,99,24,5,3,6,1.44,1.13,"Local"
28,2015,"Apertura","Alianza","Fortaleza CEIF",44.4,24.9,320,58,11,7,1,2,0.47,0.37,"Visitante"
29,2015,"Apertura","Boyaca Chico","Deportes Tolima",44.9,43.6,289,57,19,12,1,3,0.6,0.61,"Local"
29,2015,"Apertura","Deportes Tolima","Boyaca Chico",55.1,56.4,374,66,13,5,2,5,0.97,1.08,"Visitante"
30,2015,"Apertura","Santa Fe","America de Cali",56.7,63.8,487,119,29,6,1,5,0.76,0.85,"Local"
30,2015,"Apertura","America de Cali","Santa Fe",43.3,36.2,312,62,8,5,2,4,1,0.72,"Visitante"
31,2015,"Apertura","Aguilas Doradas","Once Caldas",57.9,65.6,472,101,25,5,1,4,0.54,0.39,"Local"
31,2015,"Apertura","Once Caldas","Aguilas Doradas",42.1,34.4,313,66,12,6,2,2,0.83,0.79,"Visitante"
32,2015,"Apertura","Jaguares","Junior",54.2,50.1,421,91,9,7,2,3,0.91,0.7,"Local"
32,2015,"Apertura","Junior","Jaguares",45.8,49.9,382,81,14,6,0,3,0.17,0.17,"Visitante"
33,2015,"Apertura","La Equidad","Envigado",37.6,34.2,329,80,22,8,3,4,1.3,1.33,"Local"
33,2015,"Apertura","Envigado","La Equidad",62.4,65.8,487,87,13,3,2,4,0.93,0.8,"Visitante"
34,2015,"Apertura","La Equidad","Once Caldas",66.2,63.3,437,102,26,6,1,6,0.81,0.92,"Local"
34,2015,"Apertura","Once Caldas","La Equidad",33.8,36.7,269,47,7,4,0,5,0.44,0.45,"Visitante"
35,2015,"Apertura","Junior","Aguilas Doradas",37.3,35.7,326,80,28,12,4,4,1.62,1.25,"Local"
35,2015,"Apertura","Aguilas Doradas","Junior",62.7,64.3,436,78,14,5,1,4,0.61,0.7,"Visitante"
36,2015,"Apertura","Patriotas","Aguilas Doradas",41.7,32.5,291,64,21,12,1,5,0.61,0.45,"Local"
36,2015,"Apertura","Aguilas Doradas","Patriotas",58.3,67.5,441,80,16,9,1,3,0.58,0.65,"Visitante"
37,2015,"Apertura","Envigado","Atletico Nacional",64.5,72.2,516,117,26,7,3,7,1.57,1.58,"Local"
37,2015,"Apertura","Atletico Nacional","Envigado",35.5,27.8,251,46,7,5,0,2,0.11,0.13,"Visitante"
38,2015,"Apertura","Alianza","Deportivo Pereira",56.9,49.4,387,92,12,6,0,3,0.2,0.21,"Local"
38,2015,"Apertura","Deportivo Pereira","Alianza",43.1,50.6,316,63,12,6,1,1,0.39,0.35,"Visitante"
39,2015,"Apertura","Patriotas","Envigado",37.6,43,313,63,21,9,2,4,0.97,0.76,"Local"
39,2015,"Apertura","Envigado","Patriotas",62.4,57,514,103,13,10,2,6,1.12,1.14,"Visitante"
40,2015,"Apertura","Alianza","Millonarios",54.6,52.6,439,104,12,5,0,3,0.21,0.22,"Local"
40,2015,"Apertura","Millonarios","Alianza",45.4,47.4,338,60,9,7,0,3,0.26,0.2,"Visitante"
41,2015,"Apertura","Deportivo Pereira","Boyaca Chico",39.5,36.5,306,68,18,13,1,4,0.64,0.64,"Local"
41,2015,"Apertura","Boyaca Chico","Deportivo Pereira",60.5,63.5,452,84,12,7,0,2,0.12,0.09,"Visitante"
42,2015,"Apertura","Aguilas Doradas","Atletico Bucaramanga",51.8,52.6,411,79,7,6,2,3,0.83,0.68,"Local"
42,2015,"Apertura","Atletico Bucaramanga","Aguilas Doradas",48.2,47.4,360,73,15,8,0,2,0.13,0.11,"Visitante"
43,2015,"Apertura","Atletico Bucaramanga","Aguilas Doradas",55,71,441,102,28,8,1,6,0.75,0.67,"Local"
43,2015,"Apertura","Aguilas Doradas","Atletico Bucaramanga",45,29,346,74,12,6,1,3,0.48,0.48,"Visitante"
44,2015,"Apertura","Envigado","Deportivo Pasto",60.2,72,460,98,23,6,3,7,1.52,1.6,"Local"
44,2015,"Apertura","Deportivo Pasto","Envigado",39.8,28,341,59,10,6,1,3,0.52,0.47,"Visitante"
45,2015,"Apertura","Deportivo Pasto","Boyaca Chico",64.7,74.3,478,93,23,6,2,6,1.12,0.88,"Local"
45,2015,"Apertura","Boyaca Chico","Deportivo Pasto",35.3,25.7,253,48,9,6,0,3,0.24,0.22,"Visitante"
46,2015,"Apertura","Deportivo Pereira","Alianza",57,49.1,408,78,9,6,2,3,0.87,0.71,"Local"
46,2015,"Apertura","Alianza","Deportivo Pereira",43,50.9,319,56,7,3,2,4,0.89,0.7,"Visitante"
47,2015,"Apertura","Junior","Deportivo Pereira",66.7,73.1,432,107,24,7,2,6,1.06,0.99,"Local"
47,2015,"Apertura","Deportivo Pereira","Junior",33.3,26.9,238,50,9,7,0,2,0.12,0.12,"Visitante"
48,2015,"Apertura","Boyaca Chico","Deportes Tolima",40.8,44.8,317,70,23,11,2,4,0.88,0.82,"Local"
48,2015,"Apertura","Deportes Tolima","Boyaca Chico",59.2,55.2,456,90,12,7,0,6,0.5,0.42,"Visitante"
49,2015,"Apertura","Independiente Medellin","Junior",65.1,74.7,490,119,29,6,2,6,1.18,1.02,"Local"
49,2015,"Apertura","Junior","Independiente Medellin",34.9,25.3,299,64,12,6,2,2,0.78,0.63,"Visitante"
50,2015,"Apertura","Deportivo Pasto","Envigado",64.3,73.3,491,111,25,5,2,5,0.98,0.93,"Local"
50,2015,"Apertura","Envigado","Deportivo Pasto",35.7,26.7,261,48,9,3,1,4,0.62,0.63,"Visitante"
51,2015,"Apertura","Independiente Medellin","Jaguares",39.2,44.4,306,73,20,10,4,4,1.57,1.85,"Local"
51,2015,"Apertura","Jaguares","Independiente Medellin",60.8,55.6,452,85,16,6,2,3,0.84,0.72,"Visitante"
52,2015,"Apertura","Millonarios","Fortaleza CEIF",37.3,34,307,59,18,11,2,4,0.89,0.72,"Local"
52,2015,"Apertura","Fortaleza CEIF","Millonarios",62.7,66,457,81,11,9,0,2,0.14,0.1,"Visitante"
53,2015,"Apertura","Independiente Medellin","Deportivo Cali",50.9,48.3,401,97,9,4,0,3,0.18,0.2,"Local"
53,2015,"Apertura","Deportivo Cali","Independiente Medellin",49.1,51.7,364,69,13,6,2,3,0.87,0.83,"Visitante"
54,2015,"Apertura","Envigado","Independiente Medellin",52.8,50.2,478,104,10,7,0,2,0.18,0.15,"Local"
54,2015,"Apertura","Independiente Medellin","Envigado",47.2,49.8,375,70,13,9,2,3,0.85,0.79,"Visitante"
55,2015,"Apertura","Deportivo Cali","Junior",56.9,55,417,93,11,7,2,2,0.83,0.95,"Local"
55,2015,"Apertura","Junior","Deportivo Cali",43.1,45,303,59,12,7,1,3,0.55,0.63,"Visitante"
56,2015,"Apertura","Deportivo Pasto","Atletico Bucaramanga",39,35.7,322,72,23,7,2,5,1.05,1,"Local"
56,2015,"Apertura","Atletico Bucaramanga","Deportivo Pasto",61,64.3,472,86,13,6,1,2,0.48,0.46,"Visitante"
57,2015,"Apertura","Junior","Santa Fe",39.7,43.8,329,69,21,12,1,4,0.65,0.76,"Local"
57,2015,"Apertura","Santa Fe","Junior",60.3,56.2,459,79,15,8,0,3,0.18,0.19,"Visitante"
58,2015,"Apertura","Independiente Medellin","Millonarios",58.9,76.9,487,119,30,6,1,5,0.65,0.54,"Local"
58,2015,"Apertura","Millonarios","Independiente Medellin",41.1,23.1,310,53,8,6,0,2,0.12,0.12,"Visitante"
59,2015,"Apertura","Patriotas","Fortaleza CEIF",60.6,66.4,462,89,21,7,3,6,1.42,1.51,"Local"
59,2015,"Apertura","Fortaleza CEIF","Patriotas",39.4,33.6,297,68,13,8,2,5,1.08,1.19,"Visitante"
60,2015,"Apertura","Jaguares","Junior",55.7,51.8,439,92,9,7,2,3,0.92,0.91,"Local"
60,2015,"Apertura","Junior","Jaguares",44.3,48.2,318,70,13,4,1,4,0.55,0.42,"Visitante"
61,2015,"Apertura","Atletico Bucaramanga","Atletico Nacional",39.7,45.3,314,64,21,11,2,4,0.92,0.65,"Local"
61,2015,"Apertura","Atletico Nacional","Atletico Bucaramanga",60.3,54.7,457,90,18,6,2,3,0.9,0.63,"Visitante"
62,2015,"Apertura","Once Caldas","La Equidad",53.6,50.8,423,102,12,6,1,3,0.57,0.65,"Local"
62,2015,"Apertura","La Equidad","Once Caldas",46.4,49.2,345,61,11,7,2,3,0.84,0.79,"Visitante"
63,2015,"Apertura","Deportivo Pereira","Patriotas",55.3,55.2,387,76,9,5,2,2,0.84,0.78,"Local"
63,2015,"Apertura","Patriotas","Deportivo Pereira",44.7,44.8,344,68,11,6,2,2,0.79,0.71,"Visitante"
64,2015,"Apertura","America de Cali","Jaguares",56.1,65.6,435,99,25,8,3,6,1.51,1.12,"Local"
64,2015,"Apertura","Jaguares","America de Cali",43.9,34.4,351,77,13,5,2,3,0.82,0.62,"Visitante"
65,2015,"Apertura","Envigado","La Equidad",36.6,45.9,280,58,16,13,3,4,1.24,1.38,"Local"
65,2015,"Apertura","La Equidad","Envigado",63.4,54.1,485,101,12,7,1,3,0.57,0.63,"Visitante"
66,2015,"Apertura","Aguilas Doradas","La Equidad",53.6,48.8,426,95,10,6,0,2,0.16,0.17,"Local"
66,2015,"Apertura","La Equidad","Aguilas Doradas",46.4,51.2,320,67,10,6,1,4,0.66,0.56,"Visitante"
67,2015,"Apertura","La Equidad","Once Caldas",57.6,74.5,475,102,28,6,1,6,0.84,0.68,"Local"
67,2015,"Apertura","Once Caldas","La Equidad",42.4,25.5,342,76,13,8,0,3,0.26,0.29,"Visitante"
68,2015,"Apertura","Deportivo Pasto","Millonarios",63.7,78.3,504,102,26,6,1,7,0.69,0.49,"Local"
68,2015,"Apertura","Millonarios","Deportivo Pasto",36.3,21.7,269,46,8,6,2,3,0.85,0.66,"Visitante"
69,2015,"Apertura","Boyaca Chico","Atletico Bucaramanga",57.6,64.5,453,99,26,6,1,7,0.7,0.65,"Local"
69,2015,"Apertura","Atletico Bucaramanga","Boyaca Chico",42.4,35.5,272,59,11,7,1,4,0.55,0.51,"Visitante"
70,2015,"Apertura","Junior","Atletico Nacional",38.1,33.1,309,66,18,11,1,4,0.61,0.51,"Local"
70,2015,"Apertura","Atletico Nacional","Junior",61.9,66.9,478,93,13,6,1,4,0.55,0.52,"Visitante"
71,2015,"Apertura","Deportivo Pereira","Alianza",55.7,75,408,78,20,5,1,6,0.82,0.82,"Local"
71,2015,"Apertura","Alianza","Deportivo Pereira",44.3,25,324,57,9,6,1,3,0.49,0.48,"Visitante"
72,2015,"Apertura","Jaguares","Patriotas",41.2,34.7,276,68,21,9,4,5,1.7,1.83,"Local"
72,2015,"Apertura","Patriotas","Jaguares",58.8,65.3,452,82,13,5,0,3,0.19,0.21,"Visitante"
73,2015,"Apertura","Envigado","Alianza",64.4,73.2,479,98,24,5,1,7,0.87,0.87,"Local"
73,2015,"Apertura","Alianza","Envigado",35.6,26.8,276,62,9,5,2,3,0.84,0.92,"Visitante"
74,2015,"Apertura","Independiente Medellin","Once Caldas",50.4,55.8,434,96,12,4,1,3,0.57,0.55,"Local"
74,2015,"Apertura","Once Caldas","Independiente Medellin",49.6,44.2,403,84,13,8,1,3,0.52,0.58,"Visitante"
75,2015,"Apertura","Deportivo Cali","Deportes Tolima",52.3,48,412,88,10,6,1,5,0.67,0.77,"Local"
75,2015,"Apertura","Deportes Tolima","Deportivo Cali",47.7,52,335,70,13,9,0,3,0.21,0.2,"Visitante"
76,2015,"Apertura","Deportivo Pereira","Junior",42.9,35.6,295,57,15,13,2,4,0.96,1.07,"Local"
76,2015,"Apertura","Junior","Deportivo Pereira",57.1,64.4,398,68,8,4,2,2,0.76,0.54,"Visitante"
77,2015,"Apertura","Santa Fe","Fortaleza CEIF",43.8,41.2,331,67,19,11,3,5,1.41,1.01,"Local"
77,2015,"Apertura","Fortaleza CEIF","Santa Fe",56.2,58.8,412,94,15,7,0,5,0.27,0.29,"Visitante"
78,2015,"Apertura","La Equidad","Atletico Nacional",62.9,72.5,435,89,23,6,1,6,0.77,0.69,"Local"
78,2015,"Apertura","Atletico Nacional","La Equidad",37.1,27.5,287,53,10,7,2,4,0.87,0.78,"Visitante"
79,2015,"Apertura","Santa Fe","Atletico Nacional",65.3,63.7,467,114,28,8,1,5,0.72,0.75,"Local"
79,2015,"Apertura","Atletico Nacional","Santa Fe",34.7,36.3,265,48,7,5,0,2,0.14,0.16,"Visitante"
80,2015,"Apertura","Boyaca Chico","Jaguares",58,50.9,425,96,9,5,1,3,0.6,0.55,"Local"
80,2015,"Apertura","Jaguares","Boyaca Chico",42,49.1,280,62,10,5,1,4,0.61,0.64,"Visitante"
81,2015,"Apertura","Jaguares","Deportivo Pereira",57.7,52.1,402,88,8,7,1,4,0.64,0.66,"Local"
81,2015,"Apertura","Deportivo Pereira","Jaguares",42.3,47.9,307,61,8,7,1,2,0.5,0.38,"Visitante"
82,2015,"Apertura","Alianza","Envigado",55.4,49.6,416,99,12,7,0,4,0.2,0.18,"Local"
82,2015,"Apertura","Envigado","Alianza",44.6,50.4,346,70,13,5,1,4,0.63,0.5,"Visitante"
83,2015,"Apertura","Millonarios","Atletico Nacional",62.3,73.7,468,90,19,6,2,3,0.83,0.79,"Local"
83,2015,"Apertura","Atletico Nacional","Millonarios",37.7,26.3,296,62,12,7,2,3,0.86,0.82,"Visitante"
84,2015,"Apertura","Alianza","Aguilas Doradas",51.8,50.7,408,91,10,8,2,2,0.84,0.99,"Local"
84,2015,"Apertura","Aguilas Doradas","Alianza",48.2,49.3,397,73,14,6,1,2,0.48,0.44,"Visitante"
85,2015,"Apertura","Fortaleza CEIF","Aguilas Doradas",56.1,54.5,436,94,8,5,2,3,0.83,0.85,"Local"
85,2015,"Apertura","Aguilas Doradas","Fortaleza CEIF",43.9,45.5,331,73,14,8,2,2,0.77,0.68,"Visitante"
86,2015,"Apertura","America de Cali","Santa Fe",63.3,63.3,511,125,29,5,3,5,1.36,1.43,"Local"
86,2015,"Apertura","Santa Fe","America de Cali",36.7,36.7,275,53,6,6,1,3,0.49,0.51,"Visitante"
87,2015,"Apertura","Deportivo Pereira","Once Caldas",55,74.5,430,86,21,5,1,8,0.75,0.76,"Local"
87,2015,"Apertura","Once Caldas","Deportivo Pereira",45,25.5,331,69,12,6,0,5,0.29,0.25,"Visitante"
88,2015,"Apertura","Deportivo Pereira","Jaguares",45.5,32.8,285,68,19,12,3,4,1.29,1.01,"Local"
88,2015,"Apertura","Jaguares","Deportivo Pereira",54.5,67.2,405,81,12,7,2,3,0.88,0.71,"Visitante"
89,2015,"Apertura","Atletico Bucaramanga","Deportivo Pereira",61.5,70.3,487,116,31,5,3,5,1.37,1.12,"Local"
89,2015,"Apertura","Deportivo Pereira","Atletico Bucaramanga",38.5,29.7,316,58,9,5,2,4,0.88,1,"Visitante"
90,2015,"Apertura","Boyaca Chico","Envigado",38.4,33.1,304,75,25,13,2,5,1.07,1.06,"Local"
90,2015,"Apertura","Envigado","Boyaca Chico",61.6,66.9,457,94,14,6,1,2,0.45,0.38,"Visitante"
91,2015,"Apertura","Envigado","Independiente Medellin",63.8,69.1,491,106,29,6,3,6,1.32,1.2,"Local"
91,2015,"Apertura","Independiente Medellin","Envigado",36.2,30.9,294,64,10,4,2,6,1.19,1.15,"Visitante"
92,2015,"Apertura","La Equidad","Atletico Nacional",60.4,78.8,497,96,20,5,2,5,1,1.17,"Local"
92,2015,"Apertura","Atletico Nacional","La Equidad",39.6,21.2,296,51,9,5,0,3,0.18,0.2,"Visitante"
93,2015,"Apertura","Santa Fe","Deportes Tolima",62.1,66.1,493,95,26,6,2,5,1,0.97,"Local"
93,2015,"Apertura","Deportes Tolima","Santa Fe",37.9,33.9,284,62,10,5,0,6,0.49,0.41,"Visitante"
94,2015,"Apertura","America de Cali","Envigado",56.3,53.8,433,106,13,8,2,3,0.85,0.66,"Local"
94,2015,"Apertura","Envigado","America de Cali",43.7,46.2,340,64,8,3,1,4,0.56,0.4,"Visitante"
95,2015,"Apertura","Patriotas","Deportivo Cali",66.4,74.5,453,93,24,7,2,6,1.01,1.08,"Local"
95,2015,"Apertura","Deportivo Cali","Patriotas",33.6,25.5,244,42,7,6,1,3,0.48,0.41,"Visitante"
96,2015,"Apertura","America de Cali","Alianza",61.9,64.8,490,110,23,6,1,4,0.62,0.6,"Local"
96,2015,"Apertura","Alianza","America de Cali",38.1,35.2,288,59,7,8,1,3,0.5,0.37,"Visitante"
97,2015,"Apertura","Santa Fe","Once Caldas",57.7,54,416,79,8,4,0,3,0.15,0.15,"Local"
97,2015,"Apertura","Once Caldas","Santa Fe",42.3,46,339,71,9,9,0,4,0.21,0.15,"Visitante"
98,2015,"Apertura","La Equidad","Alianza",56,77.4,437,95,21,5,1,6,0.68,0.78,"Local"
98,2015,"Apertura","Alianza","La Equidad",44,22.6,326,73,10,6,0,3,0.17,0.17,"Visitante"
99,2015,"Apertura","Junior","La Equidad",61.4,78.7,469,93,21,7,3,7,1.4,1.41,"Local"
99,2015,"Apertura","La Equidad","Junior",38.6,21.3,308,65,12,6,2,4,0.89,0.83,"Visitante"
100,2015,"Apertura","Alianza","La Equidad",52,48.5,412,90,9,6,1,3,0.52,0.43,"Local"
100,2015,"Apertura","La Equidad","Alianza",48,51.5,356,76,13,7,2,4,1,0.81,"Visitante"
101,2015,"Apertura","Junior","Jaguares",50.2,54.8,397,93,11,8,0,2,0.18,0.18,"Local"
101,2015,"Apertura","Jaguares","Junior",49.8,45.2,379,84,14,4,2,1,0.72,0.76,"Visitante"
102,2015,"Apertura","Independiente Medellin","Deportivo Pasto",41.2,42.5,287,64,21,12,3,5,1.4,1.04,"Local"
102,2015,"Apertura","Deportivo Pasto","Independiente Medellin",58.8,57.5,421,77,11,9,1,4,0.58,0.66,"Visitante"
103,2015,"Apertura","La Equidad","Atletico Nacional",53,50,398,82,10,7,1,3,0.53,0.45,"Local"
103,2015,"Apertura","Atletico Nacional","La Equidad",47,50,354,78,12,5,1,3,0.51,0.54,"Visitante"
104,2015,"Apertura","Atletico Nacional","Santa Fe",55,75.8,480,102,28,6,2,5,1,1.19,"Local"
104,2015,"Apertura","Santa Fe","Atletico Nacional",45,24.2,370,78,12,8,2,1,0.74,0.53,"Visitante"
105,2015,"Apertura","Atletico Bucaramanga","Independiente Medellin",60.5,66.1,482,114,30,6,3,6,1.38,1.29,"Local"
105,2015,"Apertura","Independiente Medellin","Atletico Bucaramanga",39.5,33.9,291,55,7,5,2,4,0.96,0.71,"Visitante"
106,2015,"Apertura","Santa Fe","Aguilas Doradas",57.9,53,428,95,12,7,0,4,0.21,0.21,"Local"
106,2015,"Apertura","Aguilas Doradas","Santa Fe",42.1,47,280,60,8,9,0,4,0.31,0.35,"Visitante"
107,2015,"Apertura","Junior","Atletico Nacional",41.4,35,298,58,16,9,4,5,1.71,1.24,"Local"
107,2015,"Apertura","Atletico Nacional","Junior",58.6,65,447,97,17,4,1,4,0.68,0.74,"Visitante"
108,2015,"Apertura","Atletico Nacional","Atletico Bucaramanga",62.1,68.7,427,99,24,6,3,7,1.48,1.15,"Local"
108,2015,"Apertura","Atletico Bucaramanga","Atletico Nacional",37.9,31.3,312,71,9,4,1,2,0.47,0.38,"Visitante"
109,2015,"Apertura","Alianza","Envigado",37.1,41,343,74,22,12,4,5,1.65,1.67,"Local"
109,2015,"Apertura","Envigado","Alianza",62.9,59,460,79,14,6,0,4,0.29,0.33,"Visitante"
110,2015,"Apertura","Envigado","America de Cali",40.8,38.8,335,77,25,11,3,4,1.2,1.38,"Local"
110,2015,"Apertura","America de Cali","Envigado",59.2,61.2,418,73,10,7,1,3,0.58,0.62,"Visitante"
111,2015,"Apertura","Deportes Tolima","Fortaleza CEIF",43.7,44.2,287,64,22,11,4,5,1.65,1.28,"Local"
111,2015,"Apertura","Fortaleza CEIF","Deportes Tolima",56.3,55.8,436,80,14,8,1,3,0.57,0.62,"Visitante"
112,2015,"Apertura","Atletico Nacional","La Equidad",37.3,45.3,282,54,14,12,2,4,0.89,0.77,"Local"
112,2015,"Apertura","La Equidad","Atletico Nacional",62.7,54.7,517,110,17,8,0,2,0.14,0.15,"Visitante"
113,2015,"Apertura","Fortaleza CEIF","Atletico Bucaramanga",39.5,32,313,69,23,12,4,4,1.62,1.71,"Local"
113,2015,"Apertura","Atletico Bucaramanga","Fortaleza CEIF",60.5,68,451,94,14,7,2,2,0.77,0.79,"Visitante"
114,2015,"Apertura","Boyaca Chico","Independiente Medellin",57.1,50.9,452,96,9,7,0,3,0.15,0.12,"Local"
114,2015,"Apertura","Independiente Medellin","Boyaca Chico",42.9,49.1,334,64,12,5,2,2,0.8,0.64,"Visitante"
115,2015,"Apertura","Santa Fe","Atletico Nacional",44.7,44.3,345,67,19,11,3,4,1.27,0.99,"Local"
115,2015,"Apertura","Atletico Nacional","Santa Fe",55.3,55.7,415,78,11,2,1,3,0.5,0.39,"Visitante"
116,2015,"Apertura","Jaguares","Patriotas",53.4,52.2,383,87,9,8,2,4,0.95,0.7,"Local"
